Tempo,n
1.188799797091633e-05,56
2.4303997633978724e-05,133
2.4740998924244195e-05,130
3.151200508000329e-05,174
3.205699613317847e-05,176
5.225699715083465e-05,268
5.8043005992658436e-05,301
6.101100007072091e-05,323
8.29679993330501e-05,408
9.730800229590386e-05,476
0.00010238800314255059,485
0.00011793900193879381,554
0.00011812899901997298,556
0.00012295100168557838,555
0.0001476539982832037,721
0.000171432999195531,821
0.00017623799794819206,859
0.00017630699585424736,883
0.00018022099538939074,852
0.00018326199642615393,893
0.00018632400315254927,915
0.00020637799752876163,998
0.00020710399985546246,997
0.00020711399702122435,1001
0.00022533100127475336,1078
0.00023480700474465266,1147
0.00024523300089640543,1181
0.0002610829978948459,1324
0.00026358399918535724,1293
0.00028524599474621937,1325
0.00030350100132636726,1421
0.00030779000371694565,1469
0.0003212550000171177,1555
0.0003665249969344586,1774
0.0003730020034709014,1784
0.0003915390043403022,1892
0.00041943600081140175,1900
0.0004196800000499934,1962
0.00043388199992477894,1981
0.0004389399982756004,2098
0.00045371399755822495,2180
0.0004674219962907955,2252
0.00047434600128326565,2276
0.0004837770029553212,2333
0.00048494499787921086,2305
0.0004875980012002401,2283
0.0005492479976965114,2622
0.0005523770014406182,2595
0.0005552459988393821,2407
0.0005708449971280061,2701
0.0005731159981223755,2762
0.0005924409997533076,2736
0.0005959819973213598,2875
0.000619113001448568,3019
0.0006209849962033331,2829
0.000664305996906478,3168
0.0006723760016029701,3161
0.0006880869987071492,3242
0.00070937199780019,3271
0.0007130739977583289,3462
0.0007203360000858083,3481
0.0007450180055457167,3527
0.0007461749992216937,3416
0.0007691560022067279,3711
0.0007702119983150624,3412
0.0008070359981502406,3942
0.0008081179985310882,3843
0.0008146570035023615,3872
0.0008276339940493926,3985
0.0008408659996348433,3741
0.0008480559990857728,4064
0.0008486369988531806,4092
0.0008642119937576354,4028
0.00091591700038407,4087
0.0009291200040024705,4486
0.0010301980000804178,4530
0.0010410649992991239,4775
0.0010451460038893856,4635
0.0011473060003481805,5334
0.001232278998941183,5942
0.001282076998904813,5668
0.0013311729999259114,6094
0.0013447559977066703,6333
0.0013772689999314025,6085
0.0014835649999440648,6936
0.0014946020019124262,6921
0.0016140849984367378,7592
0.001629754995519761,7341
0.0016982209999696352,7664
0.0017492309998488054,8293
